train_number,train_name,scraped_train_name,csv_source,csv_destination,scraped_source,scraped_destination,identity_check,running_days,status
55321,MORADABAD  - RAMNAGAR PASSENGER,PBE-TPU PASSENGER,MORADABAD,RAMNAGAR,Pilibhit Jn,Tanakpur,MISMATCH,1111111,ok
40516,Chengulpet Chennai Beach Semi Fast EMU (12 Car),CGL-MSB EMU LOCAL,CHENGALPATTU,CHENNAI BEACH,,,unknown,1111111,summary_parse_failed
40518,Chengulpet Chennai Beach Semi Fast EMU (12 Car),CGL-MSB SEMI FAST LOCAL,CHENGALPATTU,CHENNAI BEACH,,,unknown,1111111,summary_parse_failed
40520,Chengulpet Chennai Beach Semi Fast EMU (12 Car),CGL-MSB SEMI FAST LOCAL,CHENGALPATTU,CHENNAI BEACH,,,unknown,1111111,summary_parse_failed
40521,Chennai Beach Chengulpet EMU,MSB-CGL SUB LOCAL,CHENNAI BEACH,CHENGALPATTU,,,unknown,1111111,summary_parse_failed
40522,Chengulpet Chennai Beach Semi Fast EMU (12 Car),CGL-MSB EMU LOCAL,CHENGALPATTU,CHENNAI BEACH,,,unknown,1111111,summary_parse_failed
40523,Chennai Beach Chengulpet EMU,MSB-CGL SUB LOCAL,CHENNAI BEACH,CHENGALPATTU,,,unknown,1111111,summary_parse_failed
40524,Chengulpet Chennai Beach EMU,CGL-MSB EMU LOCAL,CHENGALPATTU,CHENNAI BEACH,,,unknown,1111111,summary_parse_failed
40526,Chengulpet Chennai Beach Fast EMU,CGL-MSB SEMI FAST LOCAL,CHENGALPATTU,CHENNAI BEACH,,,unknown,1111111,summary_parse_failed
40601,Chennai Beach Chengulpet EMU,MSB-CGL EMU LOCAL,CHENNAI BEACH,CHENGALPATTU,Chennai Beach Jn,Chengalpattu Jn,match,1,ok
40704,Tirumalpur Chennai Beach Fast EMU,CJ-MSB EMU LOCAL,TIRUMALPUR,CHENNAI BEACH,,,unknown,1111111,summary_parse_failed
40706,Tirumalpur Chennai Beach Fast EMU,,TIRUMALPUR,CHENNAI BEACH,,,unknown,1111111,summary_parse_failed
41059,Chennai Beach Velachery EMU,MSB -STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41063,Chennai Beach Velachery EMU,MSB -STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41067,Chennai Beach Velachery EMU,MSB -STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41069,Chennai Beach Velachery EMU,MSB -STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41071,Chennai Beach Velachery EMU,MSB -STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41073,Chennai Beach Velachery EMU,MSB -STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41075,Chennai Beach Velachery EMU,MSB -STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41077,Chennai Beach Velachery EMU,MSB -STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41079,Chennai Beach Velachery EMU,MSB-STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41081,Chennai Beach Velachery EMU,MSB-STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41083,Chennai Beach Velachery EMU,MSB-STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41085,Chennai Beach Velachery EMU,MSB-STMM MRTS SUB,CHENNAI BEACH,Velachery,Chennai Beach Jn,St Thomas Mount,match,1111111,ok
41087,Chennai Beach Velachery EMU,,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41089,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41091,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41093,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41095,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41097,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41099,Chennai Beach Velachery EMU,,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41101,Chennai Beach Velachery EMU,,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41103,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41105,Chennai Beach Velachery EMU,,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41107,Chennai Beach Velachery EMU,,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41109,Chennai Beach Velachery EMU,MSB-VLCY,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41111,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41113,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41115,Chennai Beach Velachery EMU,,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41117,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41119,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41121,Chennai Beach Velachery EMU,,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41123,Chennai Beach Velachery EMU,,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
42408,Sullurpetta Chennai Central EMU,SPE-MASS EMU LOCAL,SULLURUPETA,CHENNAI CENTRAL,Sullurupeta,Mgr Chennai Central Suburban,match,1111111,ok
52941,GANDHIGRAM - SBI-BTD PASSENGER,GG BTD PASS M G,GANDHIGRAM,BOTAD JN,Gandhigram,Botad Mg,match,1111111,ok
54308,Delhi Moradabad Passenger,DLI-MB PASSENGER,OLD DELHI,MORADABAD,Delhi,Moradabad,match,1111111,ok
41064,VLCY MSB LOCAL,STMM MRTS -MSB SUB,Velachery,CHENNAI BEACH,St Thomas Mount,Chennai Beach Jn,match,1111111,ok
41066,Velachery Chennai Local,STMM MRTS -MSB SUB,Velachery,CHENNAI BEACH,St Thomas Mount,Chennai Beach Jn,match,1111111,ok
41112,Velachery Chennai Beach Passenger,,Velachery,CHENNAI BEACH,,,unknown,1111111,summary_parse_failed
41125,Chennai Beach Velachery EMU,,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41127,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41129,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41131,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
41133,Chennai Beach Velachery EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,,,unknown,1111111,summary_parse_failed
