train_number,train_name,scraped_train_name,csv_source,csv_destination,scraped_source,scraped_destination,identity_check,running_days,status
47171,Lingampalli Falaknuma MMTS,LPI FM LOCAL,LINGAMPALLI,KACHEGUDA FALAKNUMA,Lingampalli,Falaknuma,match,1111111,ok
47124,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47125,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47143,Lingampalli Hyderabad MMTS,LPI-HYB,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47144,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47145,Lingampalli Hyderabad MMTS,LPI-HYB,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47146,Lingampalli Hyderabad MMTS,LPI-HYB,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47147,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47148,Lingampalli Hyderabad MMTS,LPI HYB LOCAL,LINGAMPALLI,HYDERABAD DECCAN,Lingampalli,Hyderabad Decan,match,1111111,ok
47174,Lingampalli Falaknuma MMTS,LPI FM LOCAL,LINGAMPALLI,KACHEGUDA FALAKNUMA,Lingampalli,Falaknuma,match,1111111,ok
47175,Lingampalli Falaknuma MMTS,LPI-FM,LINGAMPALLI,KACHEGUDA FALAKNUMA,Lingampalli,Falaknuma,match,1111111,ok
47176,Lingampalli Falaknuma MMTS,LPI-UR,LINGAMPALLI,KACHEGUDA FALAKNUMA,Lingampalli,Umdanagar,match,1111111,ok
47177,Lingampalli Falaknuma MMTS,RCPT-FM,LINGAMPALLI,KACHEGUDA FALAKNUMA,Ramchandrapuram Ts,Falaknuma,match,1111111,ok
47178,Lingampalli Falaknuma MMTS,TLPR-UR,LINGAMPALLI,KACHEGUDA FALAKNUMA,Telapur,Umdanagar,MISMATCH,1111111,ok
47179,Lingampalli Falaknuma MMTS,LPI-FM,LINGAMPALLI,KACHEGUDA FALAKNUMA,Lingampalli,Falaknuma,match,1111100,ok
47180,Lingampalli Falaknuma MMTS,LPI FM LOCAL,LINGAMPALLI,KACHEGUDA FALAKNUMA,Lingampalli,Falaknuma,match,1111111,ok
